Grid,Walls,Doors,InterestPoints,Rescued,Status,Fatalities,Damage
"[[0, 0, 0, 0, 0, 3, 0, 0], [0, 2, 2, 4, 0, 0, 0, 0], [3, 2, 2, 2, 2, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0, 3], [4, 0, 0, 0, 0, 2, 2, 4], [0, 0, 3, 0, 0, 2, 0, 0]]","[['1100', '1000', '1001', '1100', '1001', '1100', '1000', '1001'], ['0100', '0000', '0011', '0100', '0011', '0110', '0010', '0011'], ['0100', '0001', '1100', '1000', '1000', '1001', '1100', '1001'], ['0100', '0011', '0110', '0010', '0010', '0011', '0110', '0011'], ['1100', '1000', '1000', '1000', '1001', '1100', '1001', '1101'], ['0110', '0010', '0010', '0010', '0011', '0110', '0011', '0111']]","{(2, 0): False, (3, 0): False, (4, 1): False, (5, 1): False, (7, 1): False, (7, 2): False, (1, 2): False, (2, 2): False, (3, 3): False, (3, 4): False, (5, 3): False, (6, 3): False, (4, 5): False, (5, 5): False, (6, 5): False, (7, 5): False}","{(3, 1): True, (0, 4): False, (7, 4): True}",0,In progress,0,0
"[[0, 0, 0, 0, 0, 3, 0, 0], [0, 2, 2, 2, 0, 3, 0, 0], [3, 0, 2, 2, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0, 3], [4, 0, 3, 0, 0, 2, 2, 4], [0, 0, 0, 0, 0, 2, 0, 0]]","[['1100', '1000', '1001', '1100', '1001', '1100', '1000', '1001'], ['0100', '0000', '0011', '0100', '0011', '0110', '0010', '0011'], ['0100', '0001', '1100', '1000', '1000', '1001', '1100', '1001'], ['0100', '0011', '0110', '0010', '0010', '0011', '0110', '0011'], ['1100', '1000', '1000', '1000', '1001', '1100', '1001', '1101'], ['0110', '0010', '0010', '0010', '0011', '0110', '0011', '0111']]","{(2, 0): False, (3, 0): False, (4, 1): False, (5, 1): False, (7, 1): False, (7, 2): False, (1, 2): False, (2, 2): False, (3, 3): False, (3, 4): False, (5, 3): False, (6, 3): False, (4, 5): False, (5, 5): False, (6, 5): False, (7, 5): False}","{(0, 4): False, (7, 4): True, (2, 3): True}",0,In progress,1,0
"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 2, 0, 3, 0, 0], [0, 3, 2, 2, 0, 0, 0, 0], [3, 0, 4, 0, 0, 0, 3, 0], [4, 0, 3, 0, 0, 2, 0, 4], [0, 0, 0, 0, 0, 2, 0, 0]]","[['1100', '1000', '1001', '1100', '1001', '1100', '1000', '1001'], ['0100', '0000', '0011', '0100', '0011', '0110', '0010', '0011'], ['0100', '0001', '1100', '1000', '1000', '1001', '1100', '1001'], ['0100', '0011', '0110', '0010', '0010', '0011', '0110', '0011'], ['1100', '1000', '1000', '1000', '1001', '1100', '1001', '1101'], ['0110', '0010', '0010', '0010', '0011', '0110', '0011', '0111']]","{(2, 0): False, (3, 0): False, (4, 1): False, (5, 1): False, (7, 1): False, (7, 2): False, (1, 2): False, (2, 2): False, (3, 3): False, (3, 4): False, (5, 3): False, (6, 3): False, (4, 5): False, (5, 5): False, (6, 5): False, (7, 5): False}","{(0, 4): False, (7, 4): True, (2, 3): True}",0,In progress,1,0
"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 2, 0, 3, 3, 0], [0, 3, 2, 2, 0, 0, 0, 0], [0, 3, 4, 0, 0, 0, 3, 0], [4, 0, 3, 0, 2, 2, 0, 4], [0, 0, 0, 0, 0, 2, 0, 0]]","[['1100', '1000', '1001', '1100', '1001', '1100', '1000', '1001'], ['0100', '0000', '0011', '0100', '0011', '0110', '0010', '0011'], ['0100', '0001', '1100', '1000', '1000', '1001', '1100', '1001'], ['0100', '0011', '0110', '0010', '0010', '0011', '0110', '0011'], ['1100', '1000', '1000', '1000', '1001', '1100', '1001', '1101'], ['0110', '0010', '0010', '0010', '0011', '0110', '0011', '0111']]","{(2, 0): False, (3, 0): False, (4, 1): False, (5, 1): False, (7, 1): False, (7, 2): False, (1, 2): False, (2, 2): False, (3, 3): False, (3, 4): False, (5, 3): False, (6, 3): False, (4, 5): False, (5, 5): False, (6, 5): False, (7, 5): False}","{(0, 4): False, (7, 4): True, (2, 3): True}",0,In progress,1,0
"[[1, 0, 0, 2, 0, 3, 0, 0], [0, 2, 2, 2, 0, 0, 3, 0], [2, 3, 2, 2, 2, 0, 0, 0], [0, 3, 2, 2, 0, 3, 0, 0], [4, 0, 0, 0, 0, 0, 0, 4], [0, 0, 3, 0, 0, 2, 0, 0]]","[['1100', '1000', '1001', '1100', '1001', '1100', '1000', '1001'], ['0100', '0000', '0011', '0100', '0011', '0110', '0010', '0011'], ['0100', '0000', '1000', '1000', '1000', '1001', '1100', '1001'], ['0100', '0011', '0110', '0010', '0010', '0011', '0110', '0011'], ['1100', '1000', '1000', '1000', '1001', '1100', '1001', '1101'], ['0110', '0010', '0010', '0010', '0011', '0110', '0011', '0111']]","{(2, 0): False, (3, 0): False, (4, 1): False, (5, 1): False, (7, 1): False, (7, 2): False, (3, 3): False, (3, 4): False, (5, 3): True, (6, 3): True, (4, 5): False, (5, 5): False, (6, 5): False, (7, 5): False}","{(0, 4): False, (7, 4): True, (5, 0): True}",0,In progress,2,2
"[[1, 0, 0, 2, 0, 4, 0, 0], [0, 2, 2, 2, 0, 3, 3, 0], [2, 2, 2, 2, 0, 0, 0, 0], [0, 3, 2, 2, 0, 3, 0, 0], [4, 0, 0, 0, 0, 0, 0, 4], [0, 3, 0, 0, 0, 2, 0, 0]]","[['1100', '1000', '1001', '1100', '1001', '1100', '1000', '1001'], ['0100', '0000', '0011', '0100', '0011', '0110', '0010', '0011'], ['0100', '0000', '1000', '1000', '1000', '1001', '1100', '1001'], ['0100', '0011', '0110', '0010', '0010', '0011', '0110', '0011'], ['1100', '1000', '1000', '1000', '1001', '1100', '1001', '1101'], ['0110', '0010', '0010', '0010', '0011', '0110', '0011', '0111']]","{(2, 0): False, (3, 0): False, (4, 1): False, (5, 1): False, (7, 1): False, (7, 2): False, (3, 3): False, (3, 4): False, (5, 3): True, (6, 3): True, (4, 5): False, (5, 5): False, (6, 5): False, (7, 5): False}","{(0, 4): False, (7, 4): True, (5, 0): True}",0,In progress,2,2
"[[1, 0, 0, 2, 0, 4, 0, 0], [0, 2, 2, 2, 0, 3, 0, 1], [0, 0, 2, 2, 0, 0, 0, 0], [3, 3, 2, 2, 0, 3, 0, 3], [4, 0, 0, 0, 0, 0, 0, 4], [0, 0, 3, 0, 0, 2, 0, 0]]","[['1100', '1000', '1001', '1100', '1001', '1100', '1000', '1001'], ['0100', '0000', '0011', '0100', '0011', '0110', '0010', '0011'], ['0100', '0000', '1000', '1000', '1000', '1001', '1100', '1001'], ['0100', '0011', '0110', '0010', '0010', '0011', '0110', '0011'], ['1100', '1000', '1000', '1000', '1001', '1100', '1001', '1101'], ['0110', '0010', '0010', '0010', '0011', '0110', '0011', '0111']]","{(2, 0): False, (3, 0): False, (4, 1): False, (5, 1): False, (7, 1): True, (7, 2): True, (3, 3): False, (3, 4): False, (5, 3): True, (6, 3): True, (4, 5): False, (5, 5): False, (6, 5): False, (7, 5): False}","{(0, 4): False, (7, 4): True, (5, 0): True}",0,In progress,2,2
"[[1, 0, 0, 2, 0, 4, 0, 0], [0, 2, 2, 2, 4, 3, 0, 1], [0, 0, 2, 2, 0, 0, 0, 0], [0, 0, 0, 2, 0, 3, 0, 3], [3, 0, 0, 0, 0, 0, 1, 4], [0, 0, 3, 0, 0, 2, 0, 0]]","[['1100', '1000', '1001', '1100', '1001', '1100', '1000', '1001'], ['0100', '0000', '0011', '0100', '0011', '0110', '0010', '0011'], ['0100', '0000', '1000', '1000', '1000', '1001', '1100', '1001'], ['0100', '0011', '0110', '0010', '0010', '0011', '0110', '0011'], ['1100', '1000', '1000', '1000', '1001', '1100', '1001', '1101'], ['0110', '0010', '0010', '0010', '0011', '0110', '0011', '0111']]","{(2, 0): False, (3, 0): False, (4, 1): False, (5, 1): False, (7, 1): True, (7, 2): True, (3, 3): False, (3, 4): False, (5, 3): True, (6, 3): True, (4, 5): False, (5, 5): False, (6, 5): False, (7, 5): False}","{(7, 4): True, (5, 0): True, (4, 1): True}",0,In progress,2,2
"[[1, 0, 0, 2, 0, 4, 0, 0], [0, 2, 2, 2, 4, 3, 0, 1], [0, 0, 2, 2, 0, 3, 0, 0], [0, 0, 0, 2, 0, 0, 0, 3], [3, 3, 0, 0, 0, 0, 1, 4], [0, 3, 0, 0, 0, 2, 0, 0]]","[['1100', '1000', '1001', '1100', '1001', '1100', '1000', '1001'], ['0100', '0000', '0011', '0100', '0011', '0110', '0010', '0011'], ['0100', '0000', '1000', '1000', '1000', '1001', '1100', '1001'], ['0100', '0011', '0110', '0010', '0010', '0011', '0110', '0011'], ['1100', '1000', '1000', '1000', '1001', '1100', '1001', '1101'], ['0110', '0010', '0010', '0010', '0011', '0110', '0011', '0111']]","{(2, 0): False, (3, 0): False, (4, 1): False, (5, 1): False, (7, 1): True, (7, 2): True, (3, 3): False, (3, 4): False, (5, 3): True, (6, 3): True, (4, 5): False, (5, 5): False, (6, 5): False, (7, 5): False}","{(7, 4): True, (5, 0): True, (4, 1): True}",0,In progress,2,2
"[[1, 0, 0, 2, 0, 0, 0, 3], [4, 2, 2, 2, 4, 0, 0, 0], [0, 0, 2, 2, 0, 3, 0, 3], [0, 1, 0, 2, 0, 0, 0, 0], [3, 3, 0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 2, 0, 0]]","[['1100', '1000', '1001', '1100', '1001', '1100', '1000', '1001'], ['0100', '0000', '0011', '0100', '0011', '0110', '0010', '0011'], ['0100', '0000', '1000', '1000', '1000', '1001', '1100', '1001'], ['0100', '0011', '0110', '0010', '0010', '0011', '0110', '0011'], ['1100', '1000', '1000', '1000', '1001', '1100', '1001', '1101'], ['0110', '0010', '0010', '0010', '0011', '0110', '0011', '0111']]","{(2, 0): False, (3, 0): False, (4, 1): False, (5, 1): False, (7, 1): True, (7, 2): True, (3, 3): False, (3, 4): False, (5, 3): True, (6, 3): True, (4, 5): False, (5, 5): False, (6, 5): False, (7, 5): False}","{(7, 4): True, (4, 1): True, (0, 1): True}",1,In progress,2,2
